legId,searchDate,flightDate,startingAirport,destinationAirport,fareBasisCode,travelDuration,elapsedDays,isBasicEconomy,isRefundable,isNonStop,baseFare,totalFare,seatsRemaining,totalTravelDistance,segmentsDepartureTimeEpochSeconds,segmentsDepartureTimeRaw,segmentsArrivalTimeEpochSeconds,segmentsArrivalTimeRaw,segmentsArrivalAirportCode,segmentsDepartureAirportCode,segmentsAirlineName,segmentsAirlineCode,segmentsEquipmentDescription,segmentsDurationInSeconds,segmentsDistance,segmentsCabinCode
8530576141585016f98030ba964493bf,2022-07-23,2022-08-03,LAX,ORD,QA7NA0MC,PT9H2M,0,False,False,False,323.72,371.6,4,1875.0,1659531600||1659558000,2022-08-03T06:00:00.000-07:00||2022-08-03T15:20:00.000-05:00,1659544560||1659564120,2022-08-03T11:36:00.000-05:00||2022-08-03T17:02:00.000-05:00,MSP||ORD,LAX||MSP,Delta||Delta,DL||DL,Airbus A321||Boeing 717,12960||6120,1534||341,coach||coach
ac0cb4ab9de6516f589c6cc98dce1713,2022-09-02,2022-09-25,ORD,LAX,NH4OAVMN,PT13H40M,1,False,False,False,295.82,347.21,5,2679.0,1664158200||1664197200,2022-09-25T21:10:00.000-05:00||2022-09-26T06:00:00.000-07:00,1664175540||1664207400,2022-09-25T23:59:00.000-07:00||2022-09-26T08:50:00.000-07:00,SEA||LAX,ORD||SEA,Alaska Airlines||Alaska Airlines,AS||AS,Boeing 737 MAX 9||Airbus A320,17340||10200,1723||956,coach||coach
13c512f43cd9ffc6f57e77ce63206350,2022-08-23,2022-08-26,DEN,CLT,E03PXP6,PT9H28M,1,False,False,False,242.22,283.99,4,2013.0,1661578080||1661605680,2022-08-26T23:28:00.000-06:00||2022-08-27T09:08:00.000-04:00,1661591880||1661612160,2022-08-27T05:18:00.000-04:00||2022-08-27T10:56:00.000-04:00,MCO||CLT,DEN||MCO,Frontier Airlines||Frontier Airlines,F9||F9,Airbus A321||Airbus A321,13800||6480,1549||464,coach||coach
348448c5dace79b376ff60555073519f,2022-07-05,2022-09-02,OAK,SFO,VH4OASMN,PT8H7M,0,False,False,False,305.12,351.6,7,,1662148620||1662170100,2022-09-02T12:57:00.000-07:00||2022-09-02T18:55:00.000-07:00,1662156120||1662177840,2022-09-02T15:02:00.000-07:00||2022-09-02T21:04:00.000-07:00,SEA||SFO,OAK||SEA,Alaska Airlines||Alaska Airlines,AS||AS,Boeing 737 MAX 9||Boeing 737 MAX 9,7500||7740,None||None,coach||coach
bde812990922ee9043c25e3ebae8e5dd,2022-05-26,2022-06-02,BOS,DFW,V7AHZNN1,PT4H20M,0,False,False,True,208.37,238.6,7,1556.0,1654170000,2022-06-02T07:40:00.000-04:00,1654185600,2022-06-02T11:00:00.000-05:00,DFW,BOS,American Airlines,AA,Boeing 737-800,15600,1556,coach
9b8ce981e62c19cc9c257aaecd8f2976,2022-08-24,2022-09-18,DTW,DEN,GVAHZNN1,PT12H51M,0,False,False,False,407.44,465.7,6,1851.0,1663515840||1663548900,2022-09-18T11:44:00.000-04:00||2022-09-18T20:55:00.000-04:00,1663522680||1663562100,2022-09-18T13:38:00.000-04:00||2022-09-18T22:35:00.000-06:00,CLT||DEN,DTW||CLT,American Airlines||American Airlines,AA||AA,Boeing 737-800||Airbus A321,6840||13200,505||1346,coach||coach
8b1a020293951738d5898926e7d52589,2022-07-14,2022-07-21,JFK,IAD,G7AJZNN1,PT8H40M,1,False,False,False,321.86,374.1,1,891.0,1658432400||1658447940||1658458200,2022-07-21T15:40:00.000-04:00||2022-07-21T19:59:00.000-04:00||2022-07-21T22:50:00.000-04:00,1658439240||1658452140||1658463600,2022-07-21T17:34:00.000-04:00||2022-07-21T21:09:00.000-04:00||2022-07-22T00:20:00.000-04:00,RDU||CLT||IAD,JFK||RDU||CLT,American Airlines||American Airlines||American Airlines,AA||AA||AA,Embraer 175||Airbus A321||Boeing 737-800,6840||4200||5400,434||130||327,coach||coach||coach
a5a3081cbbc49476d3acad1a7b59723c,2022-09-22,2022-10-16,LAX,JFK,MI4AUEL1,PT5H31M,1,False,False,True,208.37,238.6,7,2458.0,1665989940,2022-10-16T23:59:00.000-07:00,1666009800,2022-10-17T08:30:00.000-04:00,JFK,LAX,JetBlue Airways,B6,Airbus A319-321,19860,2458,coach
df0fc9407b256567762a6ec53d752561,2022-06-13,2022-06-22,ATL,LAX,RA7NR,PT13H1M,0,False,False,False,144.0,251.58,0,,1655899200||1655934180,2022-06-22T08:00:00.000-04:00||2022-06-22T16:43:00.000-05:00,1655907720||1655946060,2022-06-22T09:22:00.000-05:00||2022-06-22T18:01:00.000-07:00,DFW||LAX,ATL||DFW,Spirit Airlines||Spirit Airlines,NK||NK,||AIRBUS INDUSTRIE A320 SHARKLETS,8520||11880,None||None,coach||coach
12a46cf30acb6444174f463926b1500a,2022-08-16,2022-09-15,DFW,PHL,V0AWZNN1,PT3H14M,0,False,False,True,404.65,449.6,7,1298.0,1663255260,2022-09-15T10:21:00.000-05:00,1663266900,2022-09-15T14:35:00.000-04:00,PHL,DFW,American Airlines,AA,Airbus A321,11640,1298,coach
4d6a1a7989eac0416764c84f41d22a89,2022-05-21,2022-07-15,DFW,EWR,MA7OA0MQ,PT6H25M,0,False,False,False,460.47,518.61,9,1487.0,1657899180||1657913940,2022-07-15T10:33:00.000-05:00||2022-07-15T15:39:00.000-04:00,1657906620||1657922280,2022-07-15T13:37:00.000-04:00||2022-07-15T17:58:00.000-04:00,ATL||EWR,DAL||ATL,Delta||Delta,DL||DL,Boeing 717||Boeing 737-800,7440||8340,725||762,coach||coach
c634e48226b686e12d05fea1766d25d4,2022-07-13,2022-08-26,SFO,EWR,LH4OASMN,PT5H50M,0,False,False,True,338.6,378.6,7,2566.0,1661524800,2022-08-26T07:40:00.000-07:00,1661545800,2022-08-26T16:30:00.000-04:00,EWR,SFO,Alaska Airlines,AS,Boeing 737-900,21000,2566,coach
2860a4aeae857e271d939261dd6aaaa2,2022-10-03,2022-10-04,DTW,MIA,QA0QA0MQ,PT5H23M,0,False,False,False,310.7,357.6,9,1200.0,1664875800||1664888580,2022-10-04T05:30:00.000-04:00||2022-10-04T09:03:00.000-04:00,1664882700||1664895180,2022-10-04T07:25:00.000-04:00||2022-10-04T10:53:00.000-04:00,ATL||MIA,DTW||ATL,Delta||Delta,DL||DL,Airbus A321||Boeing 737-900,6900||6600,604||596,coach||coach
67ed22622172a239c926255588da5bc7,2022-06-03,2022-06-05,DFW,ATL,HA0OA0MQ,PT2H5M,0,False,False,True,292.09,328.6,6,725.0,1654455600,2022-06-05T14:00:00.000-05:00,1654463100,2022-06-05T17:05:00.000-04:00,ATL,DFW,Delta,DL,Airbus A320,7500,725,coach
f5a7a15745ea9f543bae9fdbca257167,2022-10-01,2022-11-05,CLT,LAX,XAUSA5BC,PT9H45M,0,True,False,False,160.0,194.1,9,2464.0,1667644200||1667664720,2022-11-05T06:30:00.000-04:00||2022-11-05T11:12:00.000-05:00,1667654400||1667679300,2022-11-05T08:20:00.000-05:00||2022-11-05T13:15:00.000-07:00,MSP||LAX,CLT||MSP,Delta||Delta,DL||DL,Boeing 717||Airbus A321,10200||14580,930||1534,coach||coach
83d171a1dbee46a8a85a11dc63c80d5a,2022-08-08,2022-09-17,CLT,ORD,TAVNA0BC,PT6H14M,0,True,False,False,117.21,148.1,9,745.0,1663408800||1663426500,2022-09-17T06:00:00.000-04:00||2022-09-17T10:55:00.000-04:00,1663415100||1663431240,2022-09-17T07:45:00.000-04:00||2022-09-17T11:14:00.000-05:00,DTW||ORD,CLT||DTW,Delta||Delta,DL||DL,Boeing 717||Boeing 717,6300||4740,505||240,coach||coach
4e3d61fb200959468e99a2043f1b0926,2022-04-21,2022-05-25,ORD,EWR,SUAZZNB3,PT2H7M,0,True,False,True,106.05,128.6,7,720.0,1653513120,2022-05-25T16:12:00.000-05:00,1653520740,2022-05-25T19:19:00.000-04:00,EWR,ORD,American Airlines,AA,Boeing 737-800,7620,720,coach
927cec748ab4d3124d618f76b6c56c37,2022-06-18,2022-06-30,IAD,LAX,QA0OA0MC,PT8H59M,0,False,False,False,366.51,417.6,9,2679.0,1656583260||1656593940,2022-06-30T06:01:00.000-04:00||2022-06-30T08:59:00.000-04:00,1656588540||1656615600,2022-06-30T07:29:00.000-04:00||2022-06-30T12:00:00.000-07:00,JFK||LAX,IAD||JFK,Delta||Delta,DL||DL,Canadair Regional Jet 900||,5280||21660,221||2458,coach||coach
a93ce96d1900c9daee361856f6b45080,2022-08-11,2022-10-01,EWR,LAX,UC2AUEL1,PT5H55M,0,False,False,True,138.6,163.6,7,2458.0,1664621940,2022-10-01T06:59:00.000-04:00,1664643240,2022-10-01T09:54:00.000-07:00,LAX,EWR,JetBlue Airways,B6,Airbus A319-321,21300,2458,coach
294eedfc0142c3869441ee910c98ef11,2022-06-25,2022-08-03,CLT,SFO,HAUOA0MC,PT12H16M,1,False,False,False,395.35,447.1,4,3111.0,1659556200||1659575400,2022-08-03T15:50:00.000-04:00||2022-08-03T21:10:00.000-04:00,1659563940||1659600360,2022-08-03T17:59:00.000-04:00||2022-08-04T01:06:00.000-07:00,JFK||SFO,CLT||JFK,Delta||Delta,DL||DL,Canadair Regional Jet 900||,7740||24960,545||2566,coach||coach
2a445318087f9dc166e2ffcb7e10a9dc,2022-07-05,2022-08-31,EWR,PHL,QVAHZNN3,PT9H31M,0,False,False,False,185.11,225.59,7,1166.0,1661954940||1661965860||1661983260,2022-08-31T10:09:00.000-04:00||2022-08-31T13:11:00.000-04:00||2022-08-31T18:01:00.000-04:00,1661961900||1661969520||1661989200,2022-08-31T12:05:00.000-04:00||2022-08-31T14:12:00.000-04:00||2022-08-31T19:40:00.000-04:00,CLT||MYR||PHL,EWR||CLT||MYR,American Airlines||American Airlines||American Airlines,AA||AA||AA,Boeing 737-800||Airbus A320||Canadair Regional Jet 900,6960||3660||5940,545||159||462,coach||coach||coach
8af267e805945fa8e461e2ff7e1cce1c,2022-06-17,2022-08-16,PHL,LGA,PL2ABEL1,PT5H16M,0,False,False,False,115.35,147.6,7,465.0,1660647600||1660662000,2022-08-16T07:00:00.000-04:00||2022-08-16T11:00:00.000-04:00,1660652520||1660666560,2022-08-16T08:22:00.000-04:00||2022-08-16T12:16:00.000-04:00,BOS||LGA,PHL||BOS,JetBlue Airways||JetBlue Airways,B6||B6,Embraer 190||Embraer 190,4920||4560,280||185,coach||coach
ba490cf00fa6ae7704836681b032a514,2022-08-27,2022-10-08,LAX,BOS,KAVOA0MQ,PT7H52M,1,False,False,False,293.02,338.6,9,2659.0,1665260400||1665272700,2022-10-08T13:20:00.000-07:00||2022-10-08T17:45:00.000-06:00,1665266880||1665288720,2022-10-08T16:08:00.000-06:00||2022-10-09T00:12:00.000-04:00,SLC||BOS,ONT||SLC,Delta||Delta,DL||DL,Boeing 737-900||Boeing 737-900,6480||16020,559||2100,coach||coach
576f3af9835813e6414b4295a5ac8632,2022-09-23,2022-10-31,LGA,MIA,XAVSA9BD,PT3H9M,0,True,False,True,59.53,78.6,9,1104.0,1667260740,2022-10-31T19:59:00.000-04:00,1667272080,2022-10-31T23:08:00.000-04:00,MIA,LGA,Delta,DL,Boeing 737-800,11340,1104,coach
78e1512e6224c27ac67cf03bb0a2739e,2022-06-25,2022-07-20,DEN,JFK,QAA3AKEN,PT7H46M,0,False,False,False,504.19,565.6,9,2501.0,1658346120||1658363700,2022-07-20T13:42:00.000-06:00||2022-07-20T20:35:00.000-04:00,1658359680||1658374080,2022-07-20T19:28:00.000-04:00||2022-07-20T23:28:00.000-04:00,MCO||JFK,DEN||MCO,United||Delta,UA||DL,Boeing 737-800||Airbus A321,13560||10380,1549||952,coach||coach
e81a223fff19e3462ee51fb74619c2be,2022-06-28,2022-07-07,PHL,EWR,G7BWZNN1,PT4H58M,0,False,False,False,403.72,456.1,7,994.0,1657204200||1657216020,2022-07-07T10:30:00.000-04:00||2022-07-07T13:47:00.000-04:00,1657210260||1657222080,2022-07-07T12:11:00.000-04:00||2022-07-07T15:28:00.000-04:00,CLT||EWR,PHL||CLT,American Airlines||American Airlines,AA||AA,Airbus A320||Airbus A321,6060||6060,449||545,coach||coach
